date,precipitation_mm,temp_max,temp_min,temp_mean,humidity_mean,is_rainy
2016-07-27,0.0,30.8,16.7,23.245833333333334,69.08333333333333,0
2016-07-28,0.0,24.8,21.0,22.191666666666666,71.25,0
2016-07-29,0.0,25.0,19.3,21.77916666666667,73.0,0
2016-07-30,48.6,21.4,18.5,19.7375,97.58333333333333,1
2016-07-31,8.2,23.6,18.8,19.995833333333334,87.08333333333333,1
2016-08-01,0.2,24.9,15.3,19.691666666666666,79.5,1
2016-08-02,0.0,29.2,16.8,22.133333333333336,74.83333333333333,0
2016-08-03,17.4,26.2,21.2,22.920833333333334,76.16666666666667,1
2016-08-04,10.0,23.8,19.6,21.287499999999998,84.29166666666667,1
2016-08-05,0.0,25.5,18.3,21.675,79.04166666666667,0
2016-08-06,0.0,28.4,17.0,22.2,78.33333333333333,0
2016-08-07,0.2,31.8,19.2,23.883333333333336,70.66666666666667,1
2016-08-08,0.0,26.9,17.7,22.508333333333336,81.0,0
2016-08-09,0.0,30.8,19.1,24.28333333333333,75.33333333333333,0
2016-08-10,0.0,28.4,19.9,23.329166666666666,74.70833333333333,0
2016-08-11,0.2,23.1,19.1,20.625,74.45833333333333,1
2016-08-12,0.0,25.2,18.9,21.295833333333334,64.625,0
2016-08-13,0.0,24.8,17.0,21.316666666666666,72.08333333333333,0
2016-08-14,0.0,31.1,18.4,22.945833333333336,76.66666666666667,0
2016-08-15,0.2,30.3,17.4,23.545833333333334,78.54166666666667,1
2016-08-16,0.0,33.7,21.5,25.837500000000002,67.04166666666667,0
2016-08-17,0.0,30.0,18.8,24.1125,78.58333333333333,0
2016-08-18,0.0,27.4,22.5,24.7,78.29166666666667,0
2016-08-19,0.0,27.6,22.3,24.320833333333336,74.5,0
2016-08-20,0.2,29.6,22.0,24.670833333333334,73.79166666666667,1
2016-08-21,0.0,33.7,23.2,26.474999999999998,65.41666666666667,0
2016-08-22,0.0,24.9,18.9,21.275000000000002,71.25,0
2016-08-23,0.2,22.5,18.6,19.787499999999998,72.375,1
2016-08-24,0.0,24.7,17.6,20.991666666666667,68.29166666666667,0
2016-08-25,0.0,25.8,15.4,20.258333333333333,71.75,0
2016-08-26,0.0,26.7,16.0,21.133333333333333,71.04166666666667,0
2016-08-27,0.0,27.0,15.9,20.895833333333332,77.66666666666667,0
2016-08-28,0.0,27.4,18.0,22.1375,78.25,0
2016-08-29,0.2,28.1,19.9,23.670833333333334,71.91666666666667,1
2016-08-30,0.0,30.5,19.5,24.34166666666667,69.125,0
2016-08-31,0.6000000000000001,27.8,22.0,24.304166666666664,76.20833333333333,1
2016-09-01,0.0,28.5,23.2,24.858333333333334,70.08333333333333,0
2016-09-02,0.2,28.1,19.1,23.625,76.04166666666667,1
2016-09-03,2.2,27.2,20.2,23.03333333333333,79.04166666666667,1
2016-09-04,5.8,27.1,19.0,22.391666666666666,81.83333333333333,1
2016-09-05,0.0,28.0,20.0,23.541666666666668,75.16666666666667,0
2016-09-06,0.0,29.7,18.5,23.666666666666668,72.20833333333333,0
2016-09-07,0.0,30.1,22.0,24.84166666666667,69.04166666666667,0
2016-09-08,0.0,29.8,20.9,24.662499999999998,66.5,0
2016-09-09,0.0,28.9,19.7,24.016666666666666,74.66666666666667,0
2016-09-10,0.0,27.4,21.3,24.304166666666664,74.54166666666667,0
2016-09-11,0.0,28.6,18.7,23.045833333333334,78.70833333333333,0
2016-09-12,0.2,29.1,17.9,23.170833333333334,77.75,1
2016-09-13,0.0,29.4,22.2,24.941666666666666,67.875,0
2016-09-14,0.0,32.8,22.4,25.929166666666664,58.291666666666664,0
2016-09-15,0.0,32.3,22.4,26.025000000000002,62.041666666666664,0
2016-09-16,1.6,25.5,20.4,22.224999999999998,82.20833333333333,1
2016-09-17,0.0,28.3,19.5,23.212500000000002,74.20833333333333,0
2016-09-18,0.0,30.8,21.6,25.15416666666667,71.29166666666667,0
2016-09-19,0.0,32.8,22.3,25.879166666666666,65.16666666666667,0
2016-09-20,1.4,25.2,22.4,23.84583333333333,79.45833333333333,1
2016-09-21,10.6,22.9,18.3,20.579166666666666,78.5,1
2016-09-22,0.0,26.2,18.7,22.070833333333336,64.16666666666667,0
2016-09-23,0.2,25.6,18.8,22.179166666666664,72.54166666666667,1
2016-09-24,0.0,29.3,19.7,23.75,66.83333333333333,0
2016-09-25,0.0,26.4,22.6,24.008333333333336,77.04166666666667,0
2016-09-26,4.6000000000000005,24.8,19.0,21.508333333333336,75.875,1
2016-09-27,0.0,25.0,20.8,22.420833333333334,70.66666666666667,0
2016-09-28,0.0,25.2,19.7,22.329166666666666,71.75,0
2016-09-29,0.0,34.0,21.4,26.254166666666666,61.666666666666664,0
2016-09-30,0.0,27.0,22.4,23.962500000000002,72.04166666666667,0
2016-10-01,3.0,23.2,20.1,21.791666666666668,81.125,1
2016-10-02,25.6,21.4,18.8,19.875,92.5,1
2016-10-03,0.8,22.3,18.2,20.216666666666665,84.66666666666667,1
2016-10-04,2.6,22.6,19.5,20.854166666666668,91.41666666666667,1
2016-10-05,9.2,26.4,20.3,22.691666666666666,77.79166666666667,1
2016-10-06,4.6000000000000005,21.6,20.0,20.675,87.20833333333333,1
2016-10-07,0.2,26.9,19.7,22.78333333333333,82.45833333333333,1
2016-10-08,0.0,27.2,18.7,23.045833333333334,68.08333333333333,0
2016-10-09,0.0,29.3,17.7,23.329166666666666,79.70833333333333,0
2016-10-10,11.4,24.4,20.5,22.504166666666666,88.41666666666667,1
2016-10-11,1.4000000000000001,23.3,20.2,21.474999999999998,83.83333333333333,1
2016-10-12,0.8,25.5,20.6,22.40833333333333,82.45833333333333,1
2016-10-13,0.0,27.7,20.5,24.083333333333332,70.83333333333333,0
2016-10-14,0.0,29.3,23.2,25.59583333333333,74.95833333333333,0
2016-10-15,0.0,31.0,21.6,26.008333333333336,72.5,0
2016-10-16,0.0,29.6,23.3,25.920833333333334,71.33333333333333,0
